fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2016-2017,2007-08,22,01,20,Fresh Fruits,259.98,235.74,233.93,229.34,211.1,211.59,219.65,225.4,253.63,275.79,303.71,304.46,247.03
2016-2017,2007-08,23,01,21,Pulse Masoor,213.56,214.39,212.1,211.56,211.28,206.54,201.31,192.76,184.74,181.99,181.21,178.77,199.18
2016-2017,2007-08,24,01,22,Pulse Moong,297.08,292.35,287.84,282.92,278.74,272.85,262.78,256.42,247.04,244.75,245.68,243.58,267.67
2016-2017,2007-08,25,01,23,Pulse Mash (Washed),372.81,373.69,359.08,349.16,335.28,320.74,308.62,289.59,279.33,279.7,283.17,282.75,319.49
2016-2017,2007-08,26,01,24,Pulse Gram,336.26,344.99,342.16,351.48,377.06,373.11,365.37,319.93,294.15,288.13,294.91,290.14,331.47
2016-2017,2007-08,27,01,25,Gram Whole,298.45,303.31,301.53,305.15,313.13,318.41,314.06,295.48,283.59,283.71,288.7,287.99,299.46
2016-2017,2007-08,28,01,26,Beans,236.29,235.74,233.29,232.3,231.13,230.8,231.08,232.05,229.58,231.55,234.22,235.22,232.77
2016-2017,2007-08,29,01,27,Potatoes,232.81,242.67,245.55,243.97,295.55,236.78,166.57,162.81,188.01,193.29,231.71,250.82,224.21
2016-2017,2007-08,30,01,28,Onion,195.56,168.93,190.44,176.57,166.58,162.08,163.19,173.49,204.99,199.32,178.05,165.29,178.71
2016-2017,2007-08,31,01,29,Tomatoes,234.89,202.32,192.38,197.51,168.62,163.62,98.21,126.67,213.35,201.46,120.81,132.17,171
2016-2017,2007-08,32,01,30,Fresh Vegetables,294.26,282.55,292.17,309.96,307.5,246.6,220.8,221.5,225.89,272.52,248.13,240.24,263.51
2016-2017,2007-08,33,01,31,Sugar,238.08,253.85,253.32,250.89,260.56,225.55,232.55,226.8,216.84,216.6,211.63,204.5,232.6
2016-2017,2007-08,34,01,32,Gur,280.9,288.05,291.67,291.45,281.47,268.12,266.6,267.08,260.8,258.74,258.77,261.06,272.89
2016-2017,2007-08,35,01,33,Honey,310.8,312.6,316.91,314.49,316.04,317.3,319.03,322.2,323.63,331.39,331.39,331.39,320.6
2016-2017,2007-08,36,01,34,SweetMeat,242.45,243.97,244.89,245.36,245.39,245.95,245.95,246.37,247.44,247.92,250.1,251.16,246.41
2016-2017,2007-08,37,01,35,Beverages,221.71,221.76,221.86,219.47,219.5,218.49,218.57,218.9,219.43,220.59,224.56,227.14,221
2016-2017,2007-08,38,01,36,"Jam, Tomato Ketchup & Pickles",215.61,215.53,215.46,215.72,216.26,216.6,216.69,216.89,217.05,217.1,217.79,218.46,216.6
2016-2017,2007-08,39,01,37,Condiments,263.23,262.89,262.69,263.47,265.31,265.42,265.97,266.55,266.36,267.7,269.19,269.13,265.66
2016-2017,2007-08,40,01,38,Spices,241.62,242.16,241.44,239.79,239.32,238.63,238.31,238.85,237.9,236.82,236.86,236.29,239
2016-2017,2007-08,41,01,39,Tea,255.25,255.57,255.71,255.49,256.46,264.16,266.44,270.18,283.96,286.87,289.9,290.45,269.2
2016-2017,2007-08,42,02,00,"Alcoholic Beverages, Tobacco",364.79,365.41,364.13,364.39,365.33,373.34,377.97,379.55,380.92,382.78,383.32,324.6,368.88
2016-2017,2007-08,43,02,40,Cigarettes,366.77,367.46,366.11,366.41,367.34,375.47,380.19,381.8,383.2,385.02,385.57,325.84,370.93
2016-2017,2007-08,44,02,41,Betel Leaves & Nuts,244.15,241.23,244.31,241.62,243.1,243.86,242.96,243.31,242.66,246.79,246.77,249.57,244.19
2016-2017,2007-08,45,03,00,Clothing and footwear,229.72,230.14,230.47,231.18,232.18,233.48,234.02,234.34,234.46,235.61,236.71,237.99,233.36
2016-2017,2007-08,46,03,42,Cotton Cloth,224.88,225.23,225.04,225.34,225.35,225.47,225.84,226.39,226.99,228.5,230.16,231.26,226.7
2016-2017,2007-08,47,03,43,Woolen Cloth,244.64,244.64,245.97,247.41,250.42,253.61,254.5,254.92,254.82,255.67,256.11,256.38,251.59
2016-2017,2007-08,48,03,44,Readymade Garments,237.04,238.15,236.67,237.88,238.62,239.41,239.29,239.59,240.15,243.07,244.95,246.39,240.1
2016-2017,2007-08,49,03,45,Woolen Readymade Garments,253.14,253.1,253.26,253.35,260.39,262.6,265.41,264.98,260.01,258.64,258.38,258.35,258.47
2016-2017,2007-08,50,03,46,Hosiery,242.55,243.83,242.93,243.74,244.86,245.88,245.83,245.96,246.06,246.51,246.87,247.18,245.18
2016-2017,2007-08,51,03,47,Dopatta,240.75,241.64,241.02,241.74,241.74,243.24,242.99,243.52,243.87,244.46,244.48,244.81,242.86
2016-2017,2007-08,52,03,48,Cleaning and Laundry,253.34,253.54,255.44,256.52,257.02,257.94,259,261.12,261.93,265.87,269.3,270.23,260.1
2016-2017,2007-08,53,03,49,Tailoring,298.33,298.65,302.43,303.96,304.47,308.64,310.4,310.54,311.57,313.43,316.04,321.93,308.37
2016-2017,2007-08,54,03,50,Footwear,166.44,166.5,166.49,166.58,166.74,166.82,166.84,166.91,166.99,167.05,167.13,167.43,166.83
2016-2017,2007-08,55,04,00,"Housing, water, Elec., Gas and other fuels",188.88,188.91,188.9,191.56,191.64,191.7,194.42,194.45,194.44,196.62,196.7,196.71,192.91
2016-2017,2007-08,56,04,51,House Rent,178.64,178.64,178.64,182.22,182.22,182.22,185.86,185.86,185.86,188.68,188.68,188.68,183.85
2016-2017,2007-08,57,04,52,Construction Input Items,247.05,248.07,247.89,247.86,248.6,249.23,249.6,249.82,250.25,250.55,250.49,251.12,249.21
2016-2017,2007-08,58,04,53,Construction Wage Rates,230.1,230.47,230.4,230.48,232.6,234.08,234.42,235.67,235.79,237.79,240.32,240.47,234.38
2016-2017,2007-08,59,04,54,Water Supply,163.32,163.32,163.32,163.38,164.74,164.74,164.74,164.74,164.74,168.16,171.58,171.58,165.7
2016-2017,2007-08,60,04,55,Electricity,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1
2016-2017,2007-08,61,04,56,Gas,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08
2016-2017,2007-08,62,04,57,Kerosene Oil,194.7,194.46,195.07,195.65,195.93,198.63,198.47,198.47,198.79,199.32,198.42,200.6,197.38
2016-2017,2007-08,63,04,58,Firewood Whole,284.2,284.2,283.6,284.35,286.97,290.35,292.43,293.08,290.59,290.56,290.23,290.23,288.4
2016-2017,2007-08,64,05,00,Furnishing and household equipment maintenance,221.7,222.31,222.27,222.66,223.21,223.65,223.92,224.32,224.59,224.95,226.42,226.8,223.9
2016-2017,2007-08,65,05,59,Furniture,211.78,212.13,212.26,212.4,214.48,215.42,215.79,216.4,216.92,217.24,217.87,218.43,215.09
2016-2017,2007-08,66,05,60,Household Textiles,221.08,221.72,221.14,223.69,224.66,226.07,226.38,226.59,226.73,226.57,227.19,228.35,225.01
2016-2017,2007-08,67,05,61,Household Equipment,178.43,178.57,179.16,179.23,179.18,179.28,179.16,179.63,180.25,180.69,182.03,182.57,179.85
2016-2017,2007-08,68,05,62,Utensils,222.57,223.28,223.08,224.01,225.32,225.53,226.4,227.9,229.1,230.57,231.84,232.11,226.81
2016-2017,2007-08,69,05,63,Plastic Products,207.38,207.81,207.17,207.19,207.64,208.7,209.1,209.42,209.59,210.32,210.84,210.85,208.83
2016-2017,2007-08,70,05,64,Washing Soaps & Detergents,227.15,228.3,228.76,229.21,229.75,229.76,230.09,230.5,230.42,231.03,231.44,231.8,229.85
2016-2017,2007-08,71,05,65,Sewing Needle & Dr Cell,208.27,208.41,206.32,201.34,201.34,202.74,204.24,204.96,205.59,206.22,206.48,206.48,205.2
2016-2017,2007-08,72,05,66,Household Servant,249.34,249.98,249.98,249.98,249.98,249.98,249.98,249.98,249.98,249.98,253.47,253.47,250.51
2016-2017,2007-08,73,05,67,Marriage Hall Charges,243.04,243.04,242.89,243.15,243.87,243.95,243.95,244.86,245.66,245.66,248.67,248.67,244.78
2016-2017,2007-08,74,06,00,Health,187.84,189.42,192,193.78,195.28,195.93,208.45,210.17,211.21,212.43,212.65,212.66,201.82
2016-2017,2007-08,75,06,68,Drugs & Medicines,153.75,156.31,159,160.65,161.86,162.31,183.44,183.6,184.27,184.57,184.67,184.69,171.59
2016-2017,2007-08,76,06,69,Medical Equipments,234.15,236.25,242.29,245.33,246,248.7,248.7,250.2,251.01,251.01,251.21,251.21,246.34
